Report generated on: 07-31-2024 18:30:54
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-WORL-QBTU.A","    Production (quad Btu)","0.0841250268","0.1014615865","0.150296495","0.2132866645","0.2974891016","0.318582175","0.297026864","0.3269966335","0.3352203314","0.339529043","0.3310885445","0.3632339345","0.3506556358","0.354546937","0.393239007","0.404002588","0.4028061722","0.4603275235","0.439191493","0.421685555","0.42119008584","0.4616812228","0.54438923935","0.6686394283","0.74772509136","0.8875291183499999","1.08916822155","1.4554784436","2.01793714974","2.236308199007275","2.588839235613855","2.741659757974165","2.770534917718308","2.99601259932396","3.25350327195547","3.23989285539688","3.391390376774188","3.532504175","3.873672574","4.164834975","3.90692534","4.03396915","4.29566396"
"INTL.80-1-WORL-QBTU.A","        Fuel ethanol (quad Btu)","0.0841250268","0.1014615865","0.150296495","0.2132866645","0.2974891016","0.318582175","0.297026864","0.3269966335","0.3352203314","0.339529043","0.3310885445","0.3632339345","0.3506556358","0.354546937","0.393239007","0.404002588","0.4028061722","0.4603275235","0.439191493","0.421685555","0.39023928852","0.4206058674","0.4912749929","0.6045462739","0.66607199622","0.7602847688","0.8861827358","1.12521267695","1.5042512872","1.624634631470285","1.895154948087065","1.877956351691","1.8465057599936","1.965032063732455","2.09189838366816","2.17286233237109","2.189787578899088","2.245107998","2.397483237","2.508830814","2.24856476","2.24519473","2.37375868"
"INTL.81-1-WORL-QBTU.A","        Biomass-based diesel (quad Btu)","","","","","","","","","","","","","","","","","","","","","0.03095079732","0.0410753554","0.05311424645","0.0640931544","0.08165309514","0.12724434955","0.20298548575","0.33026576665","0.51368586254","0.61167356753699","0.69368428752679","0.863703406283165","0.924029157724708","1.030980535591505","1.16160488828731","1.06703052302579","1.2016027978751","1.287396177","1.476189337","1.656004161","1.65836058","1.78877442","1.92190528"
"INTL.79-2-WORL-QBTU.A","    Consumption (quad Btu)","0.0841250268","0.1014392305","0.150680395","0.2131728845","0.2972430936","0.3183936245","0.296199325","0.3264742135","0.3353146332","0.3394652935","0.305820433","0.335447264","0.323098578","0.3280829875","0.3475827475","0.375776479","0.3798771828","0.421474333","0.405917303","0.3956645625","0.39997994713590723","0.3791281535550143","0.4507739830149","0.52093420214925","0.6565922970538773","0.7777166499131807","1.06843219072261","1.3933141081600968","1.8819797791172905","2.20162610763139","2.496811077367725","2.670308928170145","2.684889199450436","2.89901209718076","3.123115900523335","3.23163084887294","3.356065494948366","3.426056777165","3.7185063217375","3.9880985501525","3.784261157706","4.039263794918063","4.23332677723713"
"INTL.80-2-WORL-QBTU.A","        Fuel ethanol (quad Btu)","0.0841250268","0.1014392305","0.150680395","0.2131728845","0.2972430936","0.3183936245","0.296199325","0.3264742135","0.3353146332","0.3394652935","0.305820433","0.335447264","0.323098578","0.3280829875","0.3475827475","0.375776479","0.3798771828","0.421474333","0.405917303","0.3956645625","0.3717162595959072","0.3448510433115921","0.4082957837669","0.46704757591925","0.5816747997472855","0.6495182625277708","0.8465043730765062","1.0538582057870798","1.4221013127361384","1.66466066273612","1.838557402076615","1.8128744037252","1.7898087148828","1.92375607466208","2.03136173485405","2.19235906446276","2.181534853646332","2.18995717938","2.33211542518","2.44725451208","2.174064924744","2.30972231976","2.38433894392"
"INTL.81-2-WORL-QBTU.A","        Biomass-based diesel (quad Btu)","","","","","","","","","","","","","","","","","","","","","0.02826368754","0.03427711024342213","0.042478199248","0.05388662623","0.07491749730659178","0.12819838738540984","0.2219278176461037","0.33945590237301704","0.4598784663811521","0.53696544489527","0.65825367529111","0.857434524444945","0.895080484567636","0.97525602251868","1.091754165669285","1.03927178441018","1.174530641302034","1.236099597785","1.3863908965575","1.5408440380725","1.610196232962","1.729541475158063","1.84898783331713"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-AFG-QBTU.A","    Production (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"INTL.80-1-AFG-QBTU.A","        Fuel ethanol (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
