Report generated on: 07-31-2024 18:28:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-WORL-TST.A","        Coal (Mst)","4154788.5905559245","4186031.8706163242","4354276.317824881","4397467.2465632865","4618620.829144311","4836035.215149326","4956273.956741469","5079580.259476676","5189273.7622036515","5271429.847154317","5186572.420034923","5003930.279341898","4905959.084250764","4777841.202228555","4868377.33079276","4954552.45306192","5064308.859914397","5068020.976565734","5043049.397722133","4977220.916401485","5134298.871447296","5373854.246408317","5430311.855280746","5824361.548332116","6265607.564712999","6667855.187615853","7034408.834380753","7342530.459366487","7576784.803298993","7679027.432632456","8208185.957503821","8654808.261323106","8885253.15803903","9002207.576097487","8915861.653247124","8706618.412265174","8178070.694383171","8416438.73565486","8747685.798041677","8901840.067930324","8486367.480317391","8899734.738619393","9063647.40836281"
"INTL.11-1-WORL-TST.A","            Anthracite (Mst)","223197.90628466735","226110.91103623033","234555.71119271143","239474.8892538134","241514.71847926223","256570.7701175643","264731.3154342205","267947.96888317686","278002.94101386785","275528.6824300071","276001.18502892315","268797.8182606354","257789.0727975857","250524.2586065289","248950.42438885986","253658.36429390227","256303.5599982082","251368.68669375734","246519.57578023348","243331.30883442238","258419.87358047956","269263.6058674766","282395.5338421213","324764.2888295814","371332.1318206884","412864.22129496484","444884.86227382044","470937.6224221343","486797.2944723037","516538.2803905021","559389.3608602554","606409.9022372101","627512.8128157102","638039.9393393255","616688.148548759","598313.2388202031","547177.5489176717","559772.2739706425","585106.4243277225","617290.5159600178","611844.1327142871","644748.3921824293","526157.8175757821"
"INTL.130-1-WORL-TST.A","            Metallurgical coal (Mst)","621625.9518339603","623790.8015139502","609837.2145978514","603952.1685799357","650359.001033565","669746.6410738135","677087.8236805551","688023.1558152391","713077.8158318874","722216.7319045122","712532.9242978608","692930.5259964232","665575.012483835","650459.6860473045","637254.9580052652","649515.264932491","656187.9848302912","652079.386684345","623571.2202002718","612750.4279097869","634480.2054579478","644907.8957700374","646034.8652334529","712159.2241395277","776299.0977562492","849260.157560757","890228.6311510268","946926.2384701571","984319.3015996119","991126.8495156664","1132904.9920793765","1207622.8897330472","1249394.3155576861","1272130.6056930656","1254701.7896116069","1225221.13612821","1136504.0174716432","1112940.6120407057","1079727.6677495479","1119720.2372562424","1060660.8297427662","1093413.1329072923","1132406.7580942141"
"INTL.12-1-WORL-TST.A","            Bituminous (Mst)","1921805.7528783125","1910081.0472906742","2018434.8979713693","2026803.3743872542","2112195.133797924","2217873.616551478","2292004.6269702986","2349522.676494248","2380865.2888414315","2421375.217038206","2440947.4607816613","2368148.37052668","2301145.562774021","2210403.108908113","2292053.391191732","2304370.7419768535","2361730.4458839702","2368922.0848174584","2346793.750942626","2293055.449389365","2359804.93426158","2496354.1589277745","2513018.7276012856","2716115.1065306985","2967381.958195508","3171645.040477817","3335145.9574160646","3480360.071618984","3625954.444903621","3701837.304389723","3932278.4273489797","4230950.405709318","4378803.227139634","4457690.87930928","4428004.7978591835","4258590.773988008","3953184.7624261165","4101005.173044144","4309145.810762686","4424653.275555748","4300262.269740284","4474848.136668985","4655852.739561507"
"INTL.119-1-WORL-TST.A","            Subbituminous (Mst)","360925.9731945955","379943.4727231848","407082.3439933174","412808.0366872321","443627.86477115215","470608.2510541551","483101.0111503696","508546.04424516676","548307.9829067687","564959.8455633994","583601.9162407458","609008.9674546322","624910.5339629455","647770.4933240619","694673.1417846769","753421.6743861064","783313.0914934452","804921.3736109835","846328.8786029164","881832.8934385169","907933.7356063114","970556.8012832907","992573.6050284464","1044543.0660234011","1102769.9373959985","1163880.5984463287","1272221.3494221938","1322688.4147827404","1336271.1950091908","1335745.5807090786","1423429.3610435748","1369920.517177399","1355462.346021446","1381134.8386722635","1408644.1232226563","1441184.6310995487","1359803.0472634044","1443567.2432684146","1549921.2576096389","1568002.910176346","1454741.8545366537","1545140.9448336011","1632807.3345615214"
"INTL.14-1-WORL-TST.A","            Lignite (Mst)","1027233.0063643887","1046105.6380522845","1084366.1500696307","1114428.7776550513","1170924.1110624075","1221235.9363523154","1239349.179506025","1265540.4140388444","1269019.7336096966","1287349.370218193","1173488.9336857316","1065044.5971035275","1056538.902232377","1018683.6553425476","995445.4154222256","993586.407472566","1006773.7777084821","990729.4447591894","979835.9721960854","946250.836829394","973660.1225409772","992771.7845597377","996289.12357544","1026779.8628089066","1047824.4395445554","1070205.169835985","1091928.0341176472","1121618.112072471","1143442.567314266","1133779.4176274855","1160183.8161716347","1239904.5464661315","1274080.456504553","1253211.3130835518","1207822.7940049176","1183308.632229204","1181401.3183043355","1199153.4333309545","1223784.6375920817","1172173.12898197","1058858.3935834002","1141584.1320270854","1116422.758569786"
"INTL.21-1-WORL-TST.A","        Metallurgical coke (Mst)","421015.24139","407539.50094","388074.90912","377026.45094","391274.90798","397545.95184","395701.78678","398098.2049","411010.74309863","413255.831736815","406242.614315","373197.5647177196","365459.3780404393","362473.364280133","358897.6250798267","401284.6878249688","395172.5646836493","398675.90285416244","378474.6911621614","363652.101518145","374531.685606309","388688.6640013687","389500.1903517337","432539.9057999445","467859.4271429965","525716.0730628886","564137.7607184858","589594.8259234492","598680.5602774963","588098.9771023972","644722.6620536372","698457.4684581857","697200.6530557816","779591.2363245941","778420.6286796011","739013.4355952292","738288.8727119223","720262.1904391967","746716.0453771981","773638.5322274384","755057.3736666833","776750.7143406196","792195.9756989843"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
