Report generated on: 07-31-2024 18:26:14
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-WORL-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","89033.92971174611","91917.59048088673","91484.01379393532","93654.283476","94854.109119","97071.05210896657","100654.02958841834","100091.580422","101714.711944","103655.552836","107796.54341134097","109969.83176915186","112346.84702023618","115643.42667626927","119720.39742404464","125016.49442553897","127905.89121790144","132975.8642607746","137717.9118556122","134983.1857498825","143088.3431406046","146520.57920740114","148389.2651471526","149766.31430938683","152228.79321201623","154397.73364052683","","","","","","",""
"INTL.26-1-WORL-BCF.A","            Dry natural gas (bcf)","53360.742307","54740.061","54563.957","55146.063","60028.777","62304.44316261","63588.3623","66582.381","69840.421","72169.6529225","73379.44702","74634.62694736337","74880.58653541739","76205.921611","76842.04706","77966.43192696657","80175.84430441834","80299.42314","81734.669949","83641.931903","86770.33116234097","88406.83066115186","90343.66296723617","93140.67591026927","95444.40383368664","98597.41937911938","102382.62627175245","104846.15421672765","108191.732587208","106097.413870082","113786.629937946","117863.78404298","120389.72486469793","121682.156808834","123398.573604553","125640.58250097063","127184.34304310748","130970.6630070078","137375.98676727","141816.9565761884","138292.409120134","144183.955675928","145068.27220342"
"INTL.43-1-WORL-BCF.A","            Vented and flared natural gas (bcf)","4633.451","3484.017","3370.365","3903.962","3530.913","3084.778","2978.633","2947.707","3278.525","3505.642","3485.019799804766","4567.878877770918","3910.481358098872","3516.735796","3558.092014","3857.23612","4097.190246","3607.285297","3599.168678","3447.304883","3240.164504","2953.472808","3047.34485","3063.901523","3318.489673","4206.401786","4169.387379","4682.397691655206","5138.953044655205","4891.976452655205","4549.797207148998","4464.1348124021015","4622.712632426934","4526.292449704871","4558.846129796561","4790.350764442739","","","","","","",""
"INTL.48-1-WORL-BCF.A","            Reinjected natural gas (bcf)","1365.454","1311.735","1388.392","1458.054","1630.152","1915.197","1837.552","2207.559","2478.382","2475.179","7878.0415","8505.723802465765","9144.934658719567","10026.698002","10463.703461","11197.102185","11566.846097","11707.611616","11782.927332","11688.175186","12653.733153","13069.743884","13138.518161","13457.205792","14519.876731","14887.291745","14250.048482","15968.72628","16285.558771","16082.187118","16359.666557","16417.878681","15501.204622","15561.605177","16098.605656","15528.422006","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-WORL-BCF.A","            Dry natural gas (bcf)","52922.23848","53524.676754","53643.143702","54635.214271","59687.504273","62165.77218861","63145.579046","66249.865107","69563.731422","72674.8108625","73270.45707773544","75056.23351044767","75231.44272914488","77202.44960347975","76953.29589508883","78968.55386819867","80785.91560841833","81170.2604655","81681.804859","83767.690984","86985.89933334097","87174.6268285","91206.66195688405","93733.72890385916","96391.84939499879","99106.6607854371","102523.27378797978","106083.350159486","109279.599150208","105709.667675882","115655.7680049596","119090.339741247","121806.79392365513","123515.0982529525","123835.61792880703","125437.52049831254","128025.65022100232","131395.67818895192","138122.638701795","140620.712896008","138482.76908802","144047.05902194","143099.037865493"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-WORL-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10926.425998735434","11429.37968812065","17794.068355439438","17912.449545479743","17290.129624088826","18017.70326520344","20485.468628","19272.9717005","19376.1747545","21263.367653","22752.997562","23387.6136125","25061.684228144928","26965.034124394366","29141.278434964825","30905.245732658037","33016.5074291529","34040.4242312426","35242.136025","32348.09413","35794.2236145558","37854.8215002968","37127.16874294942","37486.3014357537","36385.190958722524","37080.49876430631","38756.0649675458","42282.517738474","42270.489802051","43762.920299258","42225.089955378","45606.462696973","44980.186713048"
